question,answer,contexts,ground_truth,question_type,topic
Is there a known way to prevent achalasia?,"No, there is no known way to prevent achalasia.",There is no known way to prevent achalasia.,There is no known preventive measure for achalasia.,prevention,Achalasia
What drug class does nifedipine belong to and how does it help in achalasia treatment?,"Nifedipine is a calcium-channel blocker. In achalasia, it reduces muscle contraction. Taken daily, this drug provides relief for about two-thirds of patients for as long as two years.","Drug therapy. Nifedipine, a calcium-channel blocker, reduces muscle contraction. Taken daily, this drug provides relief for about two-thirds of patients for as long as two years.","Nifedipine is a calcium-channel blocker used in achalasia to reduce muscle contraction, providing relief in about two-thirds of patients for up to two years.",pharmacology,Achalasia
What steps does botulinum toxin injection involve in treating achalasia?,"Botulinum toxin is injected directly into the esophageal sphincter, which paralyzes the muscle and allows it to relax. However, symptoms usually return within one to two years, making this a temporary treatment.","Botulinum toxin injection. Injected into the sphincter, botulinum toxin paralyzes the muscle and allows it to relax. Symptoms usually return within one to two years.","Botulinum toxin is injected into the esophageal sphincter to paralyze and relax it, though the effect lasts only one to two years.",procedural,Achalasia
"If balloon dilation fails for a patient with achalasia, what alternative surgical treatment involves cutting the sphincter muscle?","If balloon dilation is inappropriate or unacceptable, esophagomyotomy is a surgical alternative. This procedure cuts the sphincter muscle to allow the esophagus to open. It is becoming more popular with the development of techniques allowing very small abdominal incisions.",Three other treatments are used for achalasia when balloon dilation is inappropriate or unacceptable. Esophagomyotomy. This surgical procedure cuts the sphincter muscle to allow the esophagus to open. Esophagomyotomy is becoming more popular with the development of techniques allowing very small abdominal incisions.,"Esophagomyotomy is the surgical alternative to balloon dilation for achalasia, involving cutting the sphincter muscle to allow food to pass.",multi_hop,Achalasia
"What role does the esophageal sphincter play in normal digestion, and what happens to it in achalasia?","Normally, the lower esophageal sphincter is contracted to prevent reflux of stomach contents. During swallowing, peristalsis causes the sphincter to relax, allowing food into the stomach. In achalasia, this sphincter fails to relax, interrupting normal peristalsis and preventing food from entering the stomach.","A ring of muscle called the lower esophageal sphincter encircles the esophagus just above the entrance to the stomach. This sphincter muscle is normally contracted to close the esophagus. When the sphincter is closed, the contents of the stomach cannot flow back into the esophagus. The act of swallowing causes a wave of esophageal contraction called peristalsis. Normally, peristalsis causes the esophageal sphincter to relax and allow food into the stomach. In achalasia, the esophageal sphincter remains contracted. Normal peristalsis is interrupted and food cannot enter the stomach.","The lower esophageal sphincter normally closes to prevent reflux and opens during swallowing to admit food. In achalasia, it fails to relax, blocking food passage into the stomach.",mechanism,Achalasia
"A patient presents with difficulty swallowing both solids and liquids, chest pain, and heartburn. What condition might this suggest, and what test measures sphincter pressure?","These symptoms — dysphagia (difficulty swallowing both liquid and solid foods), chest pain often mistaken for angina, and heartburn — are characteristic of achalasia. The test used to measure esophageal sphincter pressure is esophageal manometry, in which a thin tube is passed into the esophagus.","Dysphagia, or difficulty swallowing, is the most common symptom of achalasia. The person with achalasia usually has trouble swallowing both liquid and solid foods. The person has chest pain that is often mistaken for angina pectoris. Heartburn and difficulty belching are common. ||| Esophageal manometry. In this test, a thin tube is passed into the esophagus to measure the pressure exerted by the esophageal sphincter.",The symptoms suggest achalasia. Esophageal manometry is the test used to measure sphincter pressure in this condition.,multi_hop,Achalasia
What is achondroplasia and how common is it?,"Achondroplasia is the most common cause of dwarfism, or significantly abnormal short stature. It is a chondrodystrophy in which cartilage and bone development is disturbed. The disorder appears in approximately one in every 10,000 births.","Achondroplasia is the most common cause of dwarfism, or significantly abnormal short stature. Achondroplasia is one of a number of chondodystrophies, in which the development of cartilage, and therefore, bone is disturbed. The disorder appears in approximately one in every 10,000 births.","Achondroplasia is the most common cause of dwarfism, occurring in approximately 1 in 10,000 births. It involves abnormal cartilage and bone development.",definition,Achondroplasia
What is the underlying cause of bone growth abnormality in achondroplasia?,"Normal bone growth depends on the production of cartilage, which hardens into bone as calcium is deposited. In achondroplasia, abnormalities of this process prevent the limb bones from growing normally long while allowing them to become abnormally thickened.","Normal bone growth depends on the production of cartilage (a fibrous connective tissue). Over time, calcium is deposited within the cartilage, causing it to harden and become bone. In achondroplasia, abnormalities of this process prevent the bones (especially those in the limbs) from growing as long as they normally should, at the same time allowing the bones to become abnormally thickened.","Achondroplasia involves defective cartilage formation and calcification, causing limb bones to be shorter and thicker than normal.",mechanism,Achondroplasia
What are the four stages of general anesthesia?,"Stage One (Analgesia): loss of pain, patient remains conscious. Stage Two (Excitement): delirium, rising blood pressure, increased breathing. Stage Three (Surgical Anesthesia): skeletal muscles relax, regular breathing, surgery can begin. Stage Four (Medullary Paralysis): respiratory centers fail, potentially fatal.","Stage One: Analgesia. The patient experiences analgesia or a loss of pain sensation but remains conscious. Stage Two: Excitement. The patient may experience delirium or become violent. Blood pressure rises and becomes irregular, and breathing rate increases. Stage Three: Surgical Anesthesia. During this stage, the skeletal muscles relax, and the patient's breathing becomes regular. Stage Four: Medullary Paralysis. This stage occurs if the respiratory centers in the medulla oblongata of the brain cease to function. Death can result if the patient cannot be revived quickly.","General anesthesia has four stages: Analgesia, Excitement, Surgical Anesthesia, and Medullary Paralysis. Stage Four is life-threatening and should never be reached during clinical practice.",factual,General Anesthesia
Why is Stage Two of anesthesia typically bypassed in clinical practice?,"Stage Two (Excitement) is bypassed by administering a barbiturate such as sodium pentothal before the anesthesia, because this stage can cause delirium, violent behavior, elevated blood pressure, and increased breathing rate.","Stage Two: Excitement. The patient may experience delirium or become violent. Blood pressure rises and becomes irregular, and breathing rate increases. This stage is typically bypassed by administering a barbiturate, such as sodium pentothal, before the anesthesia.",Stage Two is bypassed by pre-administering a barbiturate like sodium pentothal to prevent delirium and cardiovascular instability.,procedural,General Anesthesia
What is balanced anesthesia and why is it used?,Balanced anesthesia is the practice of combining inhaled anesthetic gases and intravenous drugs during general anesthesia. It is used to take advantage of the beneficial effects of each type of anesthetic agent to reach surgical anesthesia effectively.,A combination of inhaled anesthetic gases and intravenous drugs are usually delivered during general anesthesia; this practice is called balanced anesthesia and is used because it takes advantage of the beneficial effects of each anesthetic agent to reach surgical anesthesia.,Balanced anesthesia combines inhaled gases and intravenous drugs to leverage the benefits of both types of agents in achieving surgical anesthesia.,definition,General Anesthesia
Which anesthetic agent is contraindicated in patients with seizure disorders and why?,Enflurane (Ethrane) is contraindicated in patients with seizure disorders because it has been found to increase intracranial pressure and the risk of seizures.,"Enflurane (Ethrane) is less potent and results in a more rapid onset of anesthesia and faster awakening than halothane. Enflurane has been found to increase intracranial pressure and the risk of seizures; therefore, its use is contraindicated in patients with seizure disorders.",Enflurane is contraindicated in patients with seizure disorders due to its potential to increase intracranial pressure and seizure risk.,pharmacology,General Anesthesia
Can halothane be toxic to the liver in adults?,"Yes, very rarely, halothane can be toxic to the liver in adults, potentially causing death. It also has the potential for causing serious cardiac dysrhythmias.","Halothane (Fluothane) is a powerful anesthetic and can easily be overadministered. Very rarely, it can be toxic to the liver in adults, causing death. It also has the potential for causing serious cardiac dysrhythmias.","Yes, halothane can very rarely cause fatal liver toxicity in adults and may also cause serious cardiac dysrhythmias.",yes_no,General Anesthesia
Which anesthetic agent should not be used in patients with aortic valve stenosis and why?,"Both desfluorane and sevofluorane should not be used in patients with aortic valve stenosis because they may increase heart rate, which can be dangerous in patients with this cardiac condition.",Desfluorane (Suprane) may increase the heart rate and should not be used in patients with aortic valve stenosis. ||| Sevofluorane (Ultane) may also cause increased heart rate and should not be used in patients with narrowed aortic valve (stenosis).,"Both desfluorane and sevofluorane are contraindicated in aortic valve stenosis because they can increase heart rate, stressing an already compromised heart valve.",pharmacology,General Anesthesia
Which inhaled anesthetic replaced halothane for induction in pediatric patients and why?,"Sevofluorane replaced halothane for pediatric induction because it does not cause coughing or airway irritation, allowing use without intravenous agents for rapid induction. It is also rapidly eliminated, allowing quick awakening.","Unlike desfluorane, sevofluorane does not cause any coughing or other related side effects, and can therefore be used without intravenous agents for rapid induction. For this reason, sevofluorane is replacing halothane for induction in pediatric patients.",Sevofluorane replaced halothane for pediatric induction because it causes no coughing or airway irritation and allows smooth inhalation induction without IV agents.,pharmacology,General Anesthesia
Which intravenous anesthetic is particularly useful in pediatric patients because it can be given intramuscularly?,Ketamine (Ketalar) is frequently used in pediatric patients because anesthesia and analgesia can be achieved with an intramuscular injection. It produces a dissociative anesthesia and is also useful in developing countries and warfare medical treatment.,"Ketamine (Ketalar) affects the senses, and produces a dissociative anesthesia (catatonia, amnesia, analgesia) in which the patient may appear awake and reactive, but cannot respond to sensory stimuli. Ketamine is frequently used in pediatric patients because anesthesia and analgesia can be achieved with an intramuscular injection.","Ketamine is the IV anesthetic that can be administered intramuscularly, making it especially useful in pediatric patients.",pharmacology,General Anesthesia
Describe how general anesthesia works at the cellular level.,"General anesthesia works by altering the flow of sodium molecules into nerve cells through the cell membrane. The drug apparently does not bind to any receptor on the cell surface and does not affect neurotransmitter release. When sodium molecules cannot enter neurons, nerve impulses are not generated, causing the brain to become unconscious, stop storing memories, stop registering pain, and stop controlling involuntary reflexes.","General anesthesia works by altering the flow of sodium molecules into nerve cells (neurons) through the cell membrane. Exactly how the anesthetic does this is not understood since the drug apparently does not bind to any receptor on the cell surface and does not seem to affect the release of chemicals that transmit nerve impulses (neurotransmitters). It is known, however, that when the sodium molecules do not get into the neurons, nerve impulses are not generated and the brain becomes unconscious, does not store memories, does not register pain impulses, and does not control involuntary reflexes.","General anesthesia blocks sodium ion entry into neurons, preventing nerve impulse generation and resulting in loss of consciousness, memory, pain perception, and involuntary reflex control. The precise molecular mechanism remains unknown.",mechanism,General Anesthesia
What is the difference in how anesthesia and sleep affect the brain?,"Although anesthesia may feel like deep sleep, they are not the same. In sleep, some parts of the brain speed up while others slow down. Under anesthesia, the loss of consciousness is more widespread.","Although anesthesia may feel like deep sleep, it is not the same. In sleep, some parts of the brain speed up while others slow down. Under anesthesia, the loss of consciousness is more widespread.","Unlike sleep where brain activity is selectively modulated, anesthesia causes a more global and widespread loss of consciousness across brain regions.",comparison,General Anesthesia
What is aplastic anemia and how does it affect the bone marrow?,"Aplastic anemia is a disorder in which the bone marrow greatly decreases or stops production of blood cells. The basic marrow structure becomes abnormal, hematopoietic cells are greatly decreased or absent, and are replaced by large quantities of fat.","Aplastic anemia is a disorder in which the bone marrow greatly decreases or stops production of blood cells. In aplastic anemia, the basic structure of the marrow becomes abnormal, and those cells responsible for generating blood cells (hematopoietic cells) are greatly decreased in number or absent. These hematopoietic cells are replaced by large quantities of fat.","Aplastic anemia involves failure of bone marrow to produce sufficient blood cells, with hematopoietic cells replaced by fat.",definition,Aplastic Anemia
What percentage of aplastic anemia cases are idiopathic?,"In about 60% of cases, aplastic anemia is considered to be idiopathic, meaning the cause is unknown.","In about 60% of cases, aplastic anemia is considered to be idiopathic, meaning that the cause of the disorder is unknown.",Approximately 60% of aplastic anemia cases are idiopathic (of unknown cause).,factual,Aplastic Anemia
Which age groups have the highest risk of developing aplastic anemia?,Young adults between 15-30 years of age and the elderly (over the age of 60) have the highest risk. Young adults in Asia have a higher disease rate than those in North America and Europe.,"Both young adults (between 15-30 years of age) and the elderly (over the age of 60) have higher rates of aplastic anemia than the general population. While the disorder occurs worldwide, young adults in Asia have a higher disease rate than do populations in North America and Europe.",Young adults (15-30 years) and the elderly (over 60) are at highest risk. Young adults in Asia have notably higher rates than those in North America and Europe.,epidemiology,Aplastic Anemia
What is aplastic anemia's global incidence rate?,Aplastic anemia strikes about 5-10 people in every one million people per year. It affects both males and females of all ages.,"Yearly, aplastic anemia strikes about 5-10 people in every one million. Although aplastic anemia strikes both males and females of all ages, there are two age groups that have an increased risk.","Aplastic anemia has a global incidence of 5-10 cases per million people per year, affecting both sexes equally across all age groups.",epidemiology,Aplastic Anemia
How does the cause of aplastic anemia differ between idiopathic and acquired cases?,"In idiopathic aplastic anemia (about 60% of cases), the cause is unknown. Acquired aplastic anemia has known causes including drug exposure (anti-cancer agents, antibiotics, anti-inflammatory drugs, seizure medications, antithyroid drugs), radiation, chemicals (benzene, insecticides), viral infections (hepatitis, Epstein-Barr, parvovirus, HIV), and pregnancy.","In about 60% of cases, aplastic anemia is considered to be idiopathic, meaning that the cause of the disorder is unknown. ||| exposure to drugs, especially anti-cancer agents, antibiotics, anti-inflammatory agents, seizure medications, and antithyroid drugs; exposure to radiation; chemical exposure (especially to the organic solvent benzene and certain insecticides); infection with certain viruses (especially those causing viral hepatitis, as well as Epstein-Barr virus, parvovirus, and HIV); pregnancy","Idiopathic aplastic anemia (60%) has no known cause, while acquired cases result from drugs, radiation, chemicals (benzene), viral infections, or pregnancy.",comparison,Aplastic Anemia
What is aphasia and what typically causes it?,"Aphasia is a language disorder typically caused by brain injury from stroke, traumatic head injury, or disease. Recovery depends on extent of brain damage, location and cause of injury, patient age, general health, and willingness to participate in speech therapy.","Because there is no way of knowing when a stroke, traumatic head injury, or disease will occur, very little can be done to prevent aphasia. The extent of recovery can be affected by an individual's willingness to cooperate and participate in speech therapy directly following the injury.","Aphasia is a language disorder caused by brain injury from stroke, trauma, or disease. Recovery depends on extent of damage, patient age, health, and engagement in speech therapy.",definition,Aphasia
Why do left-handed individuals have a higher chance of recovering from aphasia?,"Left-handed individuals may have language areas located in both the left and right hemispheres of the brain. Because they have two language centers, they may recover more fully since language abilities can be recovered from either side of the brain.","Language areas may be located in both the left and right hemispheres in left-handed individuals. Left-handed individuals are, therefore, more likely to develop aphasia following brain injury, but because they have two language centers, may recover more fully because language abilities can be recovered from either side of the brain.","Left-handed individuals often have language centers in both hemispheres, so if one is damaged, the other can compensate, leading to more complete aphasia recovery.",mechanism,Aphasia
What speech therapy techniques are used to treat aphasia?,"Speech therapy for aphasia includes: picture boards (pointing to images to communicate); workbooks (reading and writing exercises for word recall and comprehension); repetition of object names aloud; and computer software to improve speech, reading, recall, and hearing comprehension.","Picture boards. Pictures of everyday objects and activities are placed together, and the individual points to certain pictures to convey ideas and communicate with others. Workbooks. Reading and writing exercises are used to sharpen word recall and regain reading and writing abilities. Computers. Computer software can be used to improve speech, reading, recall, and hearing comprehension by, for example, displaying pictures and having the individual find the right word.","Aphasia rehabilitation uses picture boards, workbooks, repetition exercises, and computer-based speech training tools.",treatment,Aphasia
What are the main types of abuse described in medical literature?,"The main types of abuse include: physical abuse of a child or adult, sexual abuse, substance abuse, elderly abuse, and emotional abuse.","There are several major types of abuse: physical and sexual abuse of a child or an adult, substance abuse, elderly abuse, and emotional abuse.","Medical literature identifies five main types of abuse: physical, sexual, substance, elderly, and emotional abuse.",factual,Abuse
What criteria must be met for a diagnosis of substance abuse?,"Substance abuse requires an abnormal pattern of substance usage leading to significant distress or impairment, with one or more of the following within 12 months: failure to fulfill obligations, use in physically dangerous situations, recurrent legal problems, or continued use despite social and interpersonal problems.","Substance abuse is an abnormal pattern of substance usage leading to significant distress or impairment. The criteria include one or more of the following occurring within a 12-month period: recurrent substance use resulting in failure to fulfill obligations at home, work, or school. Using substance in situations that are physically dangerous. Recurrent substance-related legal problems. Continued usage despite recurrent social and interpersonal problems.","Substance abuse diagnosis requires an abnormal usage pattern causing distress or impairment, with at least one of four criteria occurring within 12 months.",diagnostic,Abuse
What is the estimated percentage of women murdered in the US by a current or former partner?,Approximately 50% of women murdered in the United States were killed by a former or current male partner.,Physical abuse directed towards adults can ultimately lead to death. Approximately 50% of women murdered in the United States were killed by a former or current male partner.,About 50% of women murdered in the United States are killed by a current or former male partner.,epidemiology,Abuse
What are the behavioral and psychological effects of sexual abuse on adolescents?,"Adolescents who are sexually abused may display promiscuity, sexual acting out, and in some situations homosexual contact. As adults, they may enter abusive relationships or have problems with intimacy.","Adolescents may display promiscuity, sexual acting out, and—in some situations—homosexual contact. ||| Children of sexual abuse may as adults enter abusive relationships or have problems with intimacy.","Sexually abused adolescents may exhibit promiscuity, sexual acting out, and long-term difficulties with intimacy or entering abusive relationships as adults.",clinical_impact,Abuse
"A child shows aggression, depression, low self-esteem, fear, and nightmares. What type of abuse might these symptoms suggest?","These symptoms — aggression, anger, hostility, depression, low self-esteem, fear, anxiety, and nightmares — are characteristic of children who have been physically abused. Severe cases may result in suicidal behavior or PTSD.","Children who have been physically abused tend to be more aggressive, angry, hostile, depressed, and have low self-esteem. Additionally, they exhibit fear, anxiety, and nightmares. Severe psychological problems may result in suicidal behavior or posttraumatic stress disorder.",These behavioral symptoms are characteristic signs of physical abuse in children.,multi_hop,Abuse
What is the main approach to preventing abuse?,Prevention programs are geared toward education and awareness. Detection of initial symptoms or characteristic behaviors may assist in some situations. Treatment may be sought before an incident occurs. Professionals must develop a clear sense of the relationship dynamics and chances for continued harm.,Prevention programs are geared to education and awareness. Detection of initial symptoms or characteristic behaviors may assist in some situations. In some cases treatment may be sought before incident. The professional treating the abused persons must develop a clear sense of the relationship dynamics and the chances for continued harm.,"Abuse prevention relies on education, awareness programs, and early detection of risk factors and behavioral symptoms.",prevention,Abuse
What treatment is recommended for children who are victims of physical or sexual abuse?,"Children who are victims of physical or sexual abuse typically require psychological support and medical attention. A complaint may be filed with local family social services to initiate investigations. Children may be referred for psychological evaluation and/or treatment, and may be placed in foster care pending the investigation outcome.",Children who are victims of physical or sexual abuse typically require psychological support and medical attention. A complaint may be filed with the local family social services that will initiate investigations. Children may also be referred for psychological evaluation and/or treatment. The victim may be placed in foster care pending the investigation outcome.,"Abused children require medical care, psychological support, social services involvement, possible foster care, and law enforcement investigation.",treatment,Abuse
How is an abscess surgically treated?,"A doctor cuts into the lining of the abscess, allowing pus to escape through a drainage tube or by leaving the cavity open. After opening, the wound is cleaned and irrigated with saline. Smaller abscesses may be packed with gauze for 24-48 hours; deeper ones require drainage tubes inserted after wound cleaning, with the incision closed with stitches.","A doctor will cut into the lining of the abscess, allowing the pus to escape either through a drainage tube or by leaving the cavity open to the skin. Once the abscess is opened, the doctor will clean and irrigate the wound thoroughly with saline. If it is not too large or deep, the doctor may simply pack the abscess wound with gauze for 24-48 hours. If it is a deeper abscess, the doctor may insert a drainage tube after cleaning out the wound.","Abscess surgery involves incision for drainage, saline irrigation, and either gauze packing (superficial) or drainage tube insertion (deep) to prevent recurrence.",procedural,Abscess
What aftercare is recommended following abscess surgery?,"After abscess surgery, pain is usually greatly reduced. Healing is typically fast. After the drainage tube is removed, antibiotics may be continued for several days. Applying heat and keeping the affected area elevated can help relieve remaining inflammation.","Much of the pain around the abscess will be gone after the surgery. Healing is usually very fast. After the tube is taken out, antibiotics may be continued for several days. Applying heat and keeping the affected area elevated may help relieve inflammation.","Post-abscess surgery care includes continued antibiotics, heat application, and elevation of the affected area.",treatment,Abscess
What is the prognosis for most abscesses after treatment?,Most abscesses heal after drainage alone; others require drainage combined with antibiotic drug treatment. Any scarring tends to become much less noticeable over time and eventually becomes almost invisible.,"Most abscesses heal after drainage alone; others require drainage and antibiotic drug treatment. ||| If there is any scarring, it is likely to become much less noticeable as time goes on, and eventually almost invisible.","Most abscesses have a good prognosis, healing with drainage alone or drainage plus antibiotics, with minimal long-term scarring.",prognosis,Abscess
What steps are taken to prepare the skin before abscess surgery?,The skin over the abscess is cleansed by swabbing gently with an antiseptic solution before the surgical procedure.,The skin over the abscess will be cleansed by swabbing gently with an antiseptic solution.,Pre-abscess surgery skin preparation involves gentle swabbing with an antiseptic solution.,procedural,Abscess
How is elderly abuse typically detected according to the encyclopedia?,"Elderly abuse can be suspected if the elderly patient demonstrates fear when the caretaker is present, shows behavioral changes around the caretaker, has delays between injuries and treatment, shows inconsistencies between injury and explanations given, or shows lack of hygiene, unfilled prescriptions, or signs of intentional delay of required medical care.","Caretaker abuse can be suspected if there is evidence suggesting behavioral changes in the elderly person when the caretaker is present. Additionally, elderly abuse can be possible if there are delays between injuries and treatment, inconsistencies between injury and explanations, lack of hygiene or clothing, and prescriptions not being filled. ||| Elderly abuse can be suspected if the elderly patient demonstrates a fear from the caretaker. Additionally, elderly abuse can be suspected if there are signs indicating intentional delay of required medical care or a change in medical status.","Elder abuse is detected through behavioral cues, unexplained injuries, neglect signs, delayed medical care, and inconsistent explanations.",diagnostic,Abuse
What is the most common symptom of achalasia and how does it manifest?,"Dysphagia (difficulty swallowing) is the most common symptom of achalasia. The person usually has trouble swallowing both liquid and solid foods, often feeling that food 'gets stuck' on the way down.","Dysphagia, or difficulty swallowing, is the most common symptom of achalasia. The person with achalasia usually has trouble swallowing both liquid and solid foods, often feeling that food 'gets stuck' on the way down.","Dysphagia (difficulty swallowing both liquids and solids) is the most common symptom of achalasia, often described as food getting stuck.",factual,Achalasia
What is the underlying cause of the esophageal sphincter failure in achalasia?,"Achalasia is caused by degeneration of the nerve cells that normally signal the brain to relax the esophageal sphincter. The ultimate cause of this degeneration is unknown, but autoimmune disease or hidden infection is suspected.",Achalasia is caused by degeneration of the nerve cells that normally signal the brain to relax the esophageal sphincter. The ultimate cause of this degeneration is unknown. Autoimmune disease or hidden infection is suspected.,Achalasia results from degeneration of nerve cells controlling the esophageal sphincter. The ultimate cause is unknown but may involve autoimmune disease or infection.,mechanism,Achalasia
